title,description,content,category,type,tags,model_compatibility,visibility
"Email Writer Pro","Create professional business emails with custom tone and style","You are an expert email writer. Write a professional email based on: Purpose: [describe purpose], Recipient: [name/role], Key points: [list points], Tone: [professional/casual]. Include: subject line, greeting, clear message, call-to-action, closing.","Business","text","business,email,professional","GPT-4,Claude-3.5-Sonnet,Gemini-1.5-Pro","public"
"Meeting Minutes Generator","Transform meeting notes into structured professional minutes","You are a professional meeting minutes writer. Convert these meeting notes into formal minutes: Meeting: [title/date], Attendees: [list names], Discussion points: [notes]. Create a structured document with: 1) Header (date, attendees, location), 2) Agenda items discussed, 3) Key decisions made, 4) Action items with assigned owners and deadlines, 5) Next meeting date. Use professional language, bullet points for clarity, and highlight action items. Format should be ready for distribution.","Business","text","business,meetings,documentation","GPT-4,Claude-3.5-Sonnet,Gemini-1.5-Pro","public"
"Financial Report Analyzer","Analyze financial data and generate executive summary reports","You are a financial analyst expert. Analyze the provided financial data and create an executive summary report. Input data: [financial metrics, period, comparisons]. Generate: 1) Executive summary highlighting key findings, 2) Revenue and expense analysis with trends, 3) Profitability metrics and ratios, 4) Year-over-year or period comparisons, 5) Key insights and recommendations, 6) Risk factors identified. Present data clearly with percentage changes, use business terminology, and provide actionable insights for decision-makers. Keep the tone professional and objective.","Business","text","finance,analysis,reporting","GPT-4,Claude-3.5-Sonnet,Gemini-1.5-Pro","public"
"Python Code Debugger","Debug Python code and provide detailed fix explanations","You are an expert Python developer specializing in debugging. Analyze this Python code: [paste code]. Identify: 1) Syntax errors with line numbers, 2) Logic errors and edge cases, 3) Performance issues or inefficiencies, 4) Best practice violations, 5) Potential runtime errors. For each issue found, provide: the problem description, the exact fix with corrected code, and explanation of why this fix works. Also suggest improvements for code readability, maintainability, and Pythonic practices. Include example test cases if relevant.","Development","code","python,debugging,code-review","GPT-4,Claude-3.5-Sonnet,Gemini-1.5-Pro","public"
"API Documentation Writer","Generate comprehensive API documentation from code and specs","You are a technical writer specializing in API documentation. Create complete API documentation for: Endpoint: [URL/method], Parameters: [list parameters], Authentication: [type]. Generate documentation including: 1) Endpoint description and purpose, 2) Request format with parameter details (type, required/optional, validation rules), 3) Response format with status codes, 4) Example requests in multiple formats (cURL, Python, JavaScript), 5) Example responses (success and error cases), 6) Common errors and troubleshooting, 7) Rate limiting or usage notes. Use clear, concise language following REST API documentation standards.","Development","text","api,documentation,technical-writing","GPT-4,Claude-3.5-Sonnet,Gemini-1.5-Pro","public"
"React Component Builder","Create reusable React components with TypeScript and best practices","You are a senior React developer. Build a React component based on: Component name: [name], Purpose: [description], Props needed: [list props]. Create a functional component using TypeScript with: 1) Proper type definitions for props, 2) useState and useEffect hooks as needed, 3) Error handling and loading states, 4) Accessibility attributes (ARIA labels), 5) Responsive design considerations, 6) Clean, commented code following React best practices, 7) Prop validation and default props. Include usage example and testing suggestions. Make it production-ready and maintainable.","Development","code","react,typescript,frontend","GPT-4,Claude-3.5-Sonnet,Gemini-1.5-Pro","public"
"Social Media Campaign Creator","Design multi-platform social media campaigns with content calendar","You are a social media marketing strategist. Create a comprehensive campaign for: Product/Service: [name], Target audience: [demographics], Campaign goal: [objective], Duration: [timeframe], Platforms: [list platforms]. Deliver: 1) Campaign theme and key messaging, 2) Content calendar with post schedule across platforms, 3) 10-15 post ideas with captions and hashtag strategies, 4) Visual content suggestions (images, videos, stories), 5) Engagement tactics and community management approach, 6) Influencer collaboration opportunities, 7) Success metrics and KPIs to track. Tailor content for each platform's best practices and audience behavior.","Marketing","text","social-media,marketing,campaigns","GPT-4,Claude-3.5-Sonnet,Gemini-1.5-Pro","public"
"SEO Content Optimizer","Optimize web content for search engines and user engagement","You are an SEO specialist and content strategist. Optimize this content: Topic: [subject], Target keyword: [keyword], Current content: [text]. Provide: 1) Keyword analysis and placement recommendations (primary and LSI keywords), 2) Optimized title tag and meta description, 3) Header structure (H1, H2, H3) with keyword integration, 4) Content improvements for readability and engagement, 5) Internal and external linking suggestions, 6) Image alt text recommendations, 7) Call-to-action placement, 8) Content length and formatting tips. Balance SEO optimization with natural, valuable content for readers. Include target word count and readability score goals.","Marketing","text","seo,content,optimization","GPT-4,Claude-3.5-Sonnet,Gemini-1.5-Pro","public"
"Short Story Generator","Write engaging short stories with customizable themes and styles","You are a creative fiction writer. Write a compelling short story based on: Genre: [genre], Theme: [theme], Setting: [location/time], Characters: [brief descriptions], Length: [word count]. Craft a story with: 1) Engaging opening hook, 2) Well-developed characters with distinct voices, 3) Clear plot structure (exposition, rising action, climax, resolution), 4) Vivid sensory descriptions, 5) Natural dialogue, 6) Show don't tell techniques, 7) Thematic depth and emotional resonance, 8) Satisfying ending. Use literary devices like metaphor, symbolism, and foreshadowing. Make readers feel connected to characters and invested in the outcome. Maintain consistent tone and pacing throughout.","Creative","text","creative-writing,fiction,storytelling","GPT-4,Claude-3.5-Sonnet,Gemini-1.5-Pro","public"
"Product Name Brainstormer","Generate creative product names with branding analysis","You are a brand strategist and creative naming expert. Generate product names for: Product type: [category], Target market: [audience], Key features: [list features], Brand personality: [descriptors], Industry: [sector]. Deliver: 1) 20 unique name options organized by style (descriptive, invented, metaphorical, acronym), 2) For top 5 names provide: meaning/origin, brand perception analysis, pros and cons, domain availability considerations, trademark risk assessment, 3) Tagline suggestions for top names, 4) Testing recommendations. Consider: memorability, pronunciation, cultural sensitivity, scalability for product line expansion. Include creative rationale for each naming direction.","Creative","text","branding,naming,product-development","GPT-4,Claude-3.5-Sonnet,Gemini-1.5-Pro","public"
